@relation LaLiga-Matches-csv

@attribute HomeTeam {'La Coruna','Sp Gijon','Ath Bilbao','Ath Madrid',Celta,Espanol,Merida,Sevilla,Valladolid,Vallecano,Zaragoza,Albacete,Barcelona,Betis,'Real Madrid',Compostela,Oviedo,Salamanca,Santander,Sociedad,Tenerife,Valencia,Hercules,Logrones,Extremadura,Mallorca,Alaves,Villareal,Malaga,Numancia,'Las Palmas',Osasuna,Villarreal,Recreativo,Murcia,Getafe,Levante,Cadiz,Gimnastic,Almeria,Xerez,Granada,Elche,Eibar,Cordoba,Leganes,Girona,Huesca}
@attribute AwayTeam {Valencia,Albacete,Santander,Sociedad,Compostela,Salamanca,Betis,Tenerife,Barcelona,'Real Madrid',Oviedo,Sevilla,Merida,Zaragoza,'Ath Bilbao','La Coruna',Vallecano,Celta,'Ath Madrid','Sp Gijon',Espanol,Valladolid,Extremadura,Logrones,Hercules,Mallorca,Villareal,Alaves,Malaga,Numancia,Villarreal,Osasuna,'Las Palmas',Recreativo,Murcia,Levante,Getafe,Cadiz,Gimnastic,Almeria,Xerez,Granada,Elche,Cordoba,Eibar,Leganes,Girona,Huesca}
@attribute HTHG numeric
@attribute HTAG numeric
@attribute FTR {H,A,D}

@data
'La Coruna',Valencia,2,0,H
'Sp Gijon',Albacete,3,0,H
'Ath Bilbao',Santander,2,0,H
'Ath Madrid',Sociedad,1,1,H
Celta,Compostela,0,0,A
Espanol,Salamanca,2,1,H
Merida,Betis,1,1,D
Sevilla,Tenerife,0,0,A
Valladolid,Barcelona,0,0,A
Vallecano,'Real Madrid',0,1,A
Zaragoza,Oviedo,1,0,H
Albacete,Sevilla,2,1,H
Barcelona,Merida,1,1,D
Betis,Zaragoza,2,0,H
'Real Madrid','Ath Bilbao',0,0,A
Compostela,'La Coruna',2,0,H
Oviedo,Vallecano,1,0,H
Salamanca,Celta,0,0,A
Santander,'Ath Madrid',0,0,A
Sociedad,'Sp Gijon',1,0,H
Tenerife,Espanol,0,2,A
Valencia,Valladolid,0,0,H
'Ath Bilbao','Ath Madrid',0,1,A
Celta,Tenerife,2,2,D
Espanol,Albacete,0,0,H
'La Coruna',Salamanca,1,0,H
Merida,Valencia,0,0,A
'Real Madrid',Oviedo,2,2,A
Sevilla,Sociedad,1,1,H
'Sp Gijon',Santander,2,1,H
Valladolid,Compostela,0,0,D
Vallecano,Betis,1,1,A
Zaragoza,Barcelona,0,0,A
Barcelona,Vallecano,1,0,H
Betis,'Real Madrid',0,0,D
Santander,Sevilla,1,1,D
Albacete,Celta,0,0,H
'Ath Madrid','Sp Gijon',1,0,H
Compostela,Merida,1,0,H
Oviedo,'Ath Bilbao',0,0,D
Salamanca,Valladolid,0,0,D
Sociedad,Espanol,0,1,A
Tenerife,'La Coruna',0,0,D
Valencia,Zaragoza,0,0,D
'Ath Bilbao','Sp Gijon',1,0,H
'Real Madrid',Barcelona,1,1,D
Celta,Sociedad,1,1,D
Espanol,Santander,0,0,H
'La Coruna',Albacete,1,0,H
Merida,Salamanca,0,0,D
Oviedo,Betis,0,1,A
Sevilla,'Ath Madrid',0,0,D
Valladolid,Tenerife,2,0,H
Vallecano,Valencia,0,0,H
Zaragoza,Compostela,1,0,H
Albacete,Valladolid,2,1,H
Barcelona,Oviedo,3,0,H
Betis,'Ath Bilbao',0,0,D
Compostela,Vallecano,1,0,H
Salamanca,Zaragoza,0,1,A
Santander,Celta,1,1,H
Sociedad,'La Coruna',1,1,H
'Sp Gijon',Sevilla,1,1,H
Tenerife,Merida,1,0,H
Valencia,'Real Madrid',3,0,H
'Ath Madrid',Espanol,1,1,H
Betis,Barcelona,0,2,A
